SMILES,IC50,pIC50,curated_SMILES
Cn1c2nc3ccccc3c-2c(NCCN2CCOCC2)c2cc(Cl)ccc21,1.26,5.8996294548824375,Cn1c2nc3ccccc3c-2c(NCCN2CCOCC2)c2cc(Cl)ccc21
CC12CCC3[C@@](C)(OO[C@]3(c3ccc(Br)cc3)O1)O2,8.7,5.060480747381382,CC12CCC3[C@@](C)(OO[C@]3(c3ccc(Br)cc3)O1)O2
N#Cc1ccc(NC(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc1,0.94,6.026872146400302,N#Cc1ccc(NC(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc1
C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2,0.3,6.522878745280337,C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2
CC1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S,0.001,9.0,CC1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S
C[C@]12C[C@](C34CC5CC(CC(C5)C3)C4)(OO1)OO2,2.0,5.698970004336019,C[C@]12C[C@](C34CC5CC(CC(C5)C3)C4)(OO1)OO2
O=C(Nc1ccc2c(c1)OC(F)(F)O2)Nc1ccc2c(c1)OC(F)(F)O2,0.49,6.309803919971486,O=C(Nc1ccc2c(c1)OC(F)(F)O2)Nc1ccc2c(c1)OC(F)(F)O2
N#Cc1c(C(F)(F)F)cc(NCc2ccc(OC(F)(F)F)cc2)n2c1nc1cc(Cl)c(Cl)cc12,1.58,5.801342913045577,N#Cc1c(C(F)(F)F)cc(NCc2ccc(OC(F)(F)F)cc2)n2c1nc1cc(Cl)c(Cl)cc12
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,7.0,5.154901959985743,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
N#Cc1c(C(F)(F)F)cc(NCc2ccccn2)n2c1nc1cc(Cl)c(Cl)cc12,1.74,5.7594507517174005,N#Cc1c(C(F)(F)F)cc(NCc2ccccn2)n2c1nc1cc(Cl)c(Cl)cc12
N#Cc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)cc3nc4cc(Cl)c(Cl)cc4n23)cc1,1.11,5.954677021213342,N#Cc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)cc3nc4cc(Cl)c(Cl)cc4n23)cc1
CNc1nnc(Sc2cnn(-c3ccccc3)c(=O)c2Cl)s1,2.5,5.6020599913279625,CNc1nnc(Sc2cnn(-c3ccccc3)c(=O)c2Cl)s1
Cc1csc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)n1,0.4,6.3979400086720375,Cc1csc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)n1
CC(=O)[C@]1(Cc2ccc([N+](=O)[O-])cc2)CC[C@]2(C)OO[C@@]1(C)O2,7.0,5.154901959985743,CC(=O)[C@]1(Cc2ccc([N+](=O)[O-])cc2)CC[C@]2(C)OO[C@@]1(C)O2
CCNCCNc1cc(-c2ccc(Cl)cc2)c(C#N)c2nc3ccccc3n12,2.44,5.61261017366127,CCNCCNc1cc(-c2ccc(Cl)cc2)c(C#N)c2nc3ccccc3n12
CC(=O)[C@]1(Cc2ccc(Cl)cc2)CC[C@]2(C)OO[C@@]1(C)O2,4.2,5.376750709602099,CC(=O)[C@]1(Cc2ccc(Cl)cc2)CC[C@]2(C)OO[C@@]1(C)O2
CC(=O)[C@@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2,4.2,5.376750709602099,CC(=O)[C@@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,0.8,6.096910013008056,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1
CC(C)C[C@@]12OO[C@]3(C)OC(C)(CCC31)O2,2.0,5.698970004336019,CC(C)C[C@@]12OO[C@]3(C)OC(C)(CCC31)O2
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0.1,7.0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1ccc(F)c(C(F)(F)F)c1,0.19,6.721246399047171,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1ccc(F)c(C(F)(F)F)c1
CN(C)CCNc1c2c3ccccc3nc-2n(C)c2ccc(Cl)cc12,3.68,5.434152181326482,CN(C)CCNc1c2c3ccccc3nc-2n(C)c2ccc(Cl)cc12
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,2.41,5.617982957425132,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12
CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1,2.6,5.585026652029182,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1
CC[C@]12OO[C@@]3(CC(C)C)OC(C)(CCC31)O2,4.4,5.356547323513812,CC[C@]12OO[C@@]3(CC(C)C)OC(C)(CCC31)O2
Clc1ccc2nc3[nH]c4ccccc4c3c(NCCN3CCOCC3)c2c1,7.61,5.118615343229427,Clc1ccc2nc3[nH]c4ccccc4c3c(NCCN3CCOCC3)c2c1
CC[C@]12C[C@](C34CC5CC(CC(C5)C3)C4)(OO1)OO2,2.0,5.698970004336019,CC[C@]12C[C@](C34CC5CC(CC(C5)C3)C4)(OO1)OO2
CC1(C)CCC[C@]2(C)C(CC[C@@](C)(O)/C=C/c3cccc(Cl)c3)[C@](C)(O)CC[C@@H]12,10.0,5.0,CC1(C)CCC[C@]2(C)C(CC[C@@](C)(O)/C=C/c3cccc(Cl)c3)[C@](C)(O)CC[C@@H]12
Brc1ccc(Nc2nc3ccccc3nc2Nc2ccc(Br)cc2)cc1,0.8,6.096910013008056,Brc1ccc(Nc2nc3ccccc3nc2Nc2ccc(Br)cc2)cc1
CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,2.5,5.6020599913279625,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1
O=C(Nc1ccc(C(F)(F)F)c(C(F)(F)F)c1)c1cc(Cl)ccc1O,2.1,5.6777807052660805,O=C(Nc1ccc(C(F)(F)F)c(C(F)(F)F)c1)c1cc(Cl)ccc1O
N#Cc1c(C(F)(F)F)cc(Nc2cnccn2)n2c1nc1ccccc12,2.01,5.696803942579511,N#Cc1c(C(F)(F)F)cc(Nc2cnccn2)n2c1nc1ccccc12
O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc(F)c(C(F)(F)F)c1,0.66,6.180456064458132,O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc(F)c(C(F)(F)F)c1
CC(=O)[C@]1(Cc2ccccc2)CC[C@]2(C)OO[C@@]1(C)O2,1.8,5.7447274948966935,CC(=O)[C@]1(Cc2ccccc2)CC[C@]2(C)OO[C@@]1(C)O2
CC(=O)[C@@]1(Cc2ccc(C)cc2)CC[C@]2(C)OO[C@@]1(C)O2,7.4,5.130768280269024,CC(=O)[C@@]1(Cc2ccc(C)cc2)CC[C@]2(C)OO[C@@]1(C)O2
CC12CCC3[C@@](C)(OO[C@]3(c3ccccc3)O1)O2,7.7,5.113509274827518,CC12CCC3[C@@](C)(OO[C@]3(c3ccccc3)O1)O2
CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3Br)cccc2NC1=O,0.02,7.698970004336019,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3Br)cccc2NC1=O
CC(=O)[C@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2,6.6,5.180456064458132,CC(=O)[C@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2
Nc1nc(NCC2CCC(CNS(=O)(=O)c3ccc4ccccc4c3)CC2)nc2ccccc12,2.0,5.698970004336019,Nc1nc(NCC2CCC(CNS(=O)(=O)c3ccc4ccccc4c3)CC2)nc2ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2ccc(OC(F)(F)F)cc2)n2c1nc1ccccc12,0.2,6.698970004336019,N#Cc1c(C(F)(F)F)cc(Nc2ccc(OC(F)(F)F)cc2)n2c1nc1ccccc12
CS(=O)(=O)c1ccc(C(=O)N(CC2CCCO2)c2nc3ccccc3s2)cc1[N+](=O)[O-],0.4,6.3979400086720375,CS(=O)(=O)c1ccc(C(=O)N(CC2CCCO2)c2nc3ccccc3s2)cc1[N+](=O)[O-]
O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc2c(c1)OC(F)(F)O2,0.75,6.1249387366083,O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc2c(c1)OC(F)(F)O2
N#Cc1ccc(NC(=O)Nc2ccnc(C(F)(F)F)c2)cc1,3.3,5.481486060122113,N#Cc1ccc(NC(=O)Nc2ccnc(C(F)(F)F)c2)cc1
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cc(Cl)c(Cl)cc3n12,0.2,6.698970004336019,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cc(Cl)c(Cl)cc3n12
CC1(C)CCC[C@]2(C)C(CC[C@@](C)(O)/C=C/c3ccc(F)cc3)[C@](C)(O)CC[C@@H]12,9.4,5.026872146400302,CC1(C)CCC[C@]2(C)C(CC[C@@](C)(O)/C=C/c3ccc(F)cc3)[C@](C)(O)CC[C@@H]12
CN1CCN(c2c3cc(Cl)ccc3nc3[nH]c4ccccc4c23)CC1,6.27,5.202732459169283,CN1CCN(c2c3cc(Cl)ccc3nc3[nH]c4ccccc4c23)CC1
CN1CCC(Nc2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4cc(Cl)c(Cl)cc4n23)CC1,5.18,5.285670240254767,CN1CCC(Nc2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4cc(Cl)c(Cl)cc4n23)CC1
N#Cc1c(C(F)(F)F)cc(Nc2ccc(CN3CCOCC3)cc2)n2c1nc1ccccc12,3.41,5.467245621007502,N#Cc1c(C(F)(F)F)cc(Nc2ccc(CN3CCOCC3)cc2)n2c1nc1ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2ccnc(F)c2)n2c1nc1ccccc12,0.75,6.1249387366083,N#Cc1c(C(F)(F)F)cc(Nc2ccnc(F)c2)n2c1nc1ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2ccccc2)n2c1nc1ccccc12,2.81,5.55129368009492,N#Cc1c(C(F)(F)F)cc(Nc2ccccc2)n2c1nc1ccccc12
CC(C)C[C@]12C[C@](C)(OO1)OO2,7.4,5.130768280269024,CC(C)C[C@]12C[C@](C)(OO1)OO2
